day,0P00000CFB.F,0P0001T861.F,0P0001T860,0P0001S9RE.F,0P0000ZECB,0P0001TA88.F,0P0000J38X,0P0001SXCD.F,0P0000Z0F5,0P0001SELQ.F,0P0001ITDV,0P000025G2,0P0001DIYP.F,0P00008MQZ,0P0001HDTT,0P0001SWVV.F,0P0000G7Q6
2025-01-02,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-03,1.0000774754023503,,1.0000777086802333,1.000209276655311,1.0003559817353245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000193874992478,1.000247167987295,1.000380485888004,1.0002281198981358,1.0001422226589565
2025-01-06,1.000309711873722,1.0,1.0004177275850992,1.0002790601814904,1.000474084516796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000581624977436,1.0004119256919493,1.0005101665293235,1.0003045104256338,1.0004944435271919
2025-01-07,1.0003861121072235,1.0,1.000514892387954,1.0003487697844429,1.000592187298268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0001355942782761,1.0004943359745901,1.000631291134689,1.000380900953132,1.0005557345722396
2025-01-08,1.0004628918120833,1.0,1.0006023291294983,1.0004175923086727,1.0007102900797396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0007941781704088,1.000576746257231,1.0007609717760084,1.00045729148063,1.0006824318291443
2025-01-09,1.0005392288003583,1.0,,1.0004864148329025,,1.0,,1.0,,1.0,,1.0,1.0010072042292175,,,1.0005326303237696,
2025-01-10,1.0006157555243125,,1.0007674745512758,1.000692808482365,1.00118360226227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0009886719491805,1.0012624791846076,1.0007597941452158,1.0009169339862398
2025-01-13,1.0008455886770806,1.0,1.0010880373335198,1.000761557083368,1.0013017050437418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0011040235089979,1.0010710822318214,1.0013836037899735,1.0008351329883554,1.001211168413077
2025-01-14,1.0009217991749029,1.0,1.0012046582589966,1.0008303796075977,1.0014198078252134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0011814552895304,1.0012358399364756,1.0015132844312926,1.0009115235158534,1.001286363733858
2025-01-15,1.000998199408404,1.0,1.0012919791902872,1.0008991282086006,1.0015370739112308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0012783927857696,1.0013182502191165,1.0016344090366585,1.000986862358993,1.0014015884045073
2025-01-16,1.0010747261323583,1.0,1.0013794159318312,1.0009679507328306,1.0016551766927024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0014720313453305,1.0014006605017574,1.0017640896779776,1.0010632528864911,1.0015315279140493
2025-01-17,1.0011524545156143,,1.0014863087959973,1.0011733833803436,1.0021275878185896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001530193843074,1.0018125861937066,1.002265597086577,1.0012904167079373,1.0016573522567824
2025-01-20,1.0013878532483065,1.0,,1.0012421319813465,,1.0,,1.0,,1.0,,1.0,1.0016076256236066,,,1.0013668072354354,
2025-01-21,1.0014667832908641,1.0,1.0019137644424072,1.0013109545055763,1.0022456906000612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0016656699048914,1.0018949964763475,1.0023867216919427,1.001442146078575,1.0020823367563207
2025-01-22,1.0015458398238748,1.0,1.0020109292452624,1.001379777029806,1.002363793381533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001723832402635,1.0020598170416293,1.002516402333262,1.0015174849217146,1.0022032977200979
2025-01-23,1.0016245168855267,1.005284360909637,1.0021080940481173,1.001448525630809,1.0024827328584593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0019368584614434,1.0021421644636426,1.0026374238538571,1.0015919632958334,1.0023136590117914
2025-01-24,1.0017035734185373,,1.0022343272246512,1.0016520362744232,1.0028387145937838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.001995020959187,1.0024717427335785,1.0030179097418612,1.001816163279542,1.0024313153719189
2025-01-27,1.0019407430175689,1.005588227731821,1.002555005817149,1.0017198238734766,1.0029568173752554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0020724527397196,1.0025541530162194,1.003139034347227,1.001890546045992,1.0027622745449747
2025-01-28,1.0020197995505795,1.0056568315105219,1.0026327144973823,1.0017886463977064,1.0030757568521818,1.0,1.0,1.0,1.0,1.0,1.0,,1.002149884520252,1.0026365632988603,1.0032687149885462,1.0019658848891315,1.002901254951294
2025-01-29,1.0020987928383636,1.0057353693968711,1.0027784037965382,1.0018564339967597,1.0031938596336536,1.0,1.0,1.0,1.0,1.0,1.0,,1.0022080470179957,1.0027189107208738,1.0033897365091415,1.0020403632632504,1.0030679192070548
2025-01-30,1.002177975861827,1.0058431252468918,1.002885296660704,1.0019233345170906,1.00331279911058,1.0,1.0,1.0,1.0,1.0,1.0,,1.0024404605760522,1.0028837312861554,1.0035195202352312,1.0021137899530108,1.0032060890502146
2025-01-31,1.0022570956400638,,1.002982461463559,1.0021248492335788,1.0036687808459042,1.0,1.0,1.0,1.0,1.0,1.0,,1.0025178923565847,1.0031308992734507,1.0038913470025113,1.002335982175671,1.0033269876629793
2025-02-03,1.0024935062963785,1.0062058954838378,1.003341820680793,1.0021916758306826,1.003786883627376,1.0,1.0,1.0,1.0,1.0,1.0,,1.002634099135613,1.0032956569781049,1.0040210276438306,1.002410364942121,1.0036686088591311
2025-02-04,1.0025725628293891,1.0062843164983322,1.0034389854836478,1.0022585763510135,1.0039049864088478,1.0,1.0,1.0,1.0,1.0,1.0,,1.0027116491326045,1.0033780672607457,1.0041420491644257,1.0024848433162399,1.003810020954928
2025-02-05,1.0026514928719468,1.006352920277033,1.003536150286503,1.0023215589403194,1.0040230891903195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0027696934138892,1.0034604775433866,1.0042718328905156,1.002554350091573,1.003868880310498
2025-02-06,1.0027234026943732,1.0064313412915276,1.003633315089358,1.0023835805276757,1.0041420930284346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0029634501899087,1.0035428878260275,1.0043928544111107,1.0026238568669061,1.0039791792511794
2025-02-07,1.0027954390072524,,1.0037499360148348,1.0025705323684677,1.0044972380683044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0030214944711935,1.0038724032353359,1.0047646811783908,1.0028323771929053,1.0041140444906895
2025-02-10,1.003010030060456,1.0067255077497728,1.0040413146131462,1.002632553955824,1.0046153408497762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0030990444681849,1.0039548135179768,1.0048944649044806,1.0029018839682384,1.0044204997159287
2025-02-11,1.0030814339210712,1.0068137460000608,1.0041190232933797,1.00269553654513,1.004733443631248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0031570887494696,1.0041196340832585,1.0050154864250758,1.0029704346668817,1.0045185778582078
2025-02-12,1.0031523318198752,1.006872532542968,1.0042453722801672,1.0027575581324863,1.0048515464127197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0032152512472132,1.0042019815052718,1.0051451670663951,1.0030399414422149,1.0046296873620484
2025-02-13,1.0032233562091317,1.0069412531935233,1.004381333518012,1.0028195797198427,1.0049696491941915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0034088898067741,1.0042843917879127,1.0052662916717607,1.0031083965331895,1.0047326912342958
2025-02-14,1.0032943173531619,,1.004488226382178,1.0030066054838616,1.0054420603200784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0034670523045175,1.0046963803404896,1.0057677990803602,1.0033150047058095,1.0047956034056622
2025-02-17,1.0035094776134035,1.007205851072533,,1.003068553147991,,1.0,,1.0,,1.0,,1.0,1.00354448408505,,,1.003383555404453,
2025-02-18,1.0035805652478864,1.0073039065586147,1.0048671575322874,1.003131535737297,1.0055609997970048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0036219158655826,1.004778727762503,1.0058888206009553,1.0034521061030963,1.00520094733634
2025-02-19,1.0036527280512184,1.0073628099733767,1.0049545942738316,1.003192596322704,1.0056791025784766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0036800783633262,1.0049435483277847,1.0060186043270452,1.0035206568017399,1.0053137403175114
2025-02-20,1.0037247643640976,1.007441230987871,1.0050420310153756,1.0032546179100603,1.0057972053599482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0038931044221349,1.0050259586104255,1.0061396258476403,1.0035891118927145,1.0054575841027864
2025-02-21,1.0037968639222032,,1.0051682641919097,1.0034396477469532,1.0061515137043635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0039705362026674,1.0053554740197341,1.0065114526149204,1.0037957200653345,1.0055630196645116
2025-02-24,1.0040120241824448,1.0077059457387354,1.0055082830967754,1.00350070833236,1.0062704531812898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0040480861996588,1.005437884302375,1.0066412363410102,1.003864270763978,1.0059438596473727
2025-02-25,1.0040831750621542,1.0077843667532298,1.0056054478996306,1.0035627299197165,1.006387719267307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0041061304809435,1.005520294585016,1.0067622578616053,1.0039328214626215,1.0060345803702053
2025-02-26,1.0041538832252788,1.007843153296137,1.0057123407637965,1.0036247515070729,1.0065066587442335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004183680477935,1.0056027048676568,1.0068832793822007,1.004001276553596,1.0061628364024164
2025-02-27,1.0042261092738374,1.0079215743106313,1.005867758124263,1.0036858120924796,1.0066247615257051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004357931538248,1.005767462572311,1.0070130631082903,1.0040698272522395,1.0062445785794842
2025-02-28,1.0042971969083203,,1.0059551948658072,1.0038708419293725,1.006981579956484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0044160940359914,1.006014630559606,1.0073848898755704,1.0042744276638114,1.0063606138132932
2025-03-03,1.0045129263755994,1.008176471825702,1.006295213770673,1.003932863516729,1.007099682737956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0044741383172762,1.0061794511248878,1.0075059113961657,1.0043420222857653,1.0066908247742021
2025-03-04,1.0045851524241578,1.0082352583686092,1.0064311750085178,1.0039939241021358,1.0072177855194275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0045516883142676,1.0062617985469011,1.0076355920374849,1.0044105729844086,1.0068289322663495
2025-03-05,1.0046572519822634,1.008294161783371,1.0065380678726839,1.0040549846875428,1.0073358883008994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0045903450963045,1.006344208829542,1.0077567166428507,1.0044780719986937,1.0069376100807121
2025-03-06,1.0047294147855954,1.0083627655620717,1.0066546887981607,1.0041169323516723,1.0074539910823712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0047647143730762,1.006426619112183,1.0078863972841698,1.0045456666206476,1.007001332815238
2025-03-07,1.0048010716271163,,1.0067614658520727,1.0043010751098425,1.0078082994267863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.004803489371572,1.0067561973821189,1.00825822405145,1.0047502670322195,1.0070683601534134
2025-03-10,1.0050176232823387,1.0086176630771424,1.0071014847569386,1.004363096697199,1.0079264022082581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0048809211521046,1.006920955086773,1.0083793486568158,1.0048178616541732,1.0073993816774816
2025-03-11,1.0050887741620482,1.0086862668558432,1.0072083776211045,1.004424083359379,1.00804450498973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0049583529326371,1.007003365369414,1.008500370177411,1.0048853606684582,1.0075480888417128
2025-03-12,1.0051598617965312,1.0087451702706052,1.0073152704852704,1.0044803389350383,1.0081626077712016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0050551722124175,1.0070857756520548,1.0086300508187303,1.0049499914526745,1.007639620127705
2025-03-13,1.0052239924561095,1.0088039568135123,1.0073929791655036,1.0045374815894204,1.0082798738572187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0051907664906936,1.0071681230740683,1.0087511754240959,1.005013666160201,1.0077524131088764
2025-03-14,1.0052885658322723,,1.0074901439683588,1.0047080224738438,1.0086333455061796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005268316487685,1.0074977013440043,1.009123002191376,1.0052044990674427,1.0079052354399163
2025-03-17,1.0054834876200631,1.0090490370927891,1.0078204348119137,1.0047651651282257,1.0087506115921967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0052877039869328,1.0075801116266452,1.0092526828326953,1.0052681737749694,1.0081921124473072
2025-03-18,1.0055476815248676,1.0091176408714901,1.007907871553458,1.0048223077826077,1.0088687143736685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0053845232667131,1.0076625219092858,1.009373807438061,1.0053307967981373,1.0082836437332994
2025-03-19,1.0056128873532948,1.009176544286252,1.0080341047299919,1.0048795243602167,1.0089868171551402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005461955047246,1.0078272796139403,1.0094948289586563,1.0053993474967808,1.0083808489614068
2025-03-20,1.0056771445033257,1.0092451480649527,1.0081409975941578,1.0049357060126491,1.0091040832411573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0056363243240176,1.0079096898965811,1.0096245095999754,1.0054630222043075,1.008506735655152
2025-03-21,1.0057420341056207,,1.0082478904583236,1.0051062468970726,1.0094575548901181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0056943686053024,1.008239268166517,1.0099963363672555,1.00565194295817,1.008666104842479
2025-03-24,1.0059379045718078,1.0095196800516106,1.0085879093631895,1.0051633895514545,1.0095756576715897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005733143603798,1.0083216155885304,1.0101174609726213,1.0057156176656967,1.0089995580560251
2025-03-25,1.0060032368906875,1.0095882838303114,1.0086850741660445,1.0052205322058365,1.0096937604530616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0057911878850827,1.0084040258711713,1.0102471416139405,1.0057791967655543,1.0091024995772602
2025-03-26,1.006068505964341,1.0096568876090122,1.0087919670302106,1.0052767877814959,1.0098118632345334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005868737882074,1.0084864361538122,1.0103681631345358,1.005842871473081,1.0091948414264116
2025-03-27,1.006133205830957,1.0097451258593002,1.0088987440841226,1.005333930435878,1.0099308027114597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0060429889423872,1.0086511938584664,1.0104979468606254,1.0059054944962489,1.0093092555339018
2025-03-28,1.0061982219237047,,1.0090056369482887,1.0055035103183518,1.0102859477513295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0061011514401306,1.0088983618457614,1.0108697736279055,1.0060954669344702,1.0094498570665396
2025-03-31,1.0063940923898917,1.0100098406101645,1.0093359277918437,1.005560652972734,1.0104048872282558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0061205389393786,1.0090631824110432,1.0109907951485009,1.0061580899576381,1.0097742693833085
2025-04-01,1.0064592349730923,1.010058809917278,1.0094428206560095,1.0056168346251664,1.010523891066371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0061979707199111,1.009145592693684,1.0111205788745905,1.0062207129808063,1.0099091346228188
2025-04-02,1.0065235553683496,1.0101372309317727,1.0095594415814864,1.0056740512027753,1.0106419938478426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0062561332176545,1.0092279401156976,1.0112416003951858,1.0062843876883327,1.0100292850234365
2025-04-03,1.0065881287445126,1.0,1.0096954028193312,1.0057302328552078,1.010760933324769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0093103503983383,1.011362621915781,1.006347010711501,1.0100962500105997
2025-04-04,1.0066523858945438,1.0098039124022076,1.0097536553769426,1.0058998127376817,1.0111152416691842,1.0,1.0,1.0,1.0,1.0,1.0,,1.0065078160585001,1.0096399286682745,1.011734448683061,1.0065360270730324,1.0101632773487752
2025-04-07,1.0068479401345984,1.010490183932925,1.0101520426496737,1.0059569553920638,1.011233344450656,1.0,1.0,1.0,1.0,,1.0,1.0,1.0065078160585001,1.0097223389509151,1.011864232409151,1.0065996061728901,1.0105751681357396
2025-04-08,1.0069131459630256,1.0105098184045123,1.0101616549007308,1.0060131370444962,1.0113522839275824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0065659785562437,1.0098870966555695,1.011985253929746,1.006662324803727,1.0106961290995167
2025-04-09,1.0069779090748678,1.010607873890594,1.0102782758262077,1.006070353622105,1.0114720600999632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0066434103367763,1.0099695069382104,1.0121149345710654,1.0067249478268951,1.01080399635072
2025-04-10,1.0070431149032948,1.0106470259619138,1.0103171880714512,1.0061265352745377,1.0115909995768895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0100518543602237,1.012236059176431,1.006787570850063,1.0108612345799712
2025-04-11,1.007107372053326,,1.010453149309296,1.0062960412337845,1.0119453079213048,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0103814326301597,1.012607885943711,1.0069765872115948,1.0109200315845288
2025-04-14,1.0073015981436262,1.0109019234769845,1.01077371209154,1.006352296809444,1.012064247398231,1.0,,1.0,1.0,,1.0,1.0,,1.0104638429128006,1.0127289074643064,1.0070392102347627,
2025-04-15,1.0073668672172795,1.0109608268917463,1.0108611488330843,1.0064084784618765,1.0121831868751574,1.0,,1.0,1.0,,1.0,1.0,,1.0106286634780823,1.012858691190396,1.0071018332579307,
2025-04-16,1.007431187612537,1.0109999789630661,1.0110069539424937,1.0064636991123594,1.0123012896566292,1.0,,1.0,1.0,,1.0,1.0,,1.0107110109000956,1.0129797127109914,1.0071645518887677,
2025-04-17,1.0074955712530207,,1.0111234590577167,1.0067427592938498,1.0127754385346142,1.0,,1.0,1.0,,1.0,1.0,,1.0111229994526725,1.0134726640836371,1.0074758504588976,
2025-04-21,,,,,1.012893541316086,,1.0,,1.0,,1.0,1.0,,1.0112054097353134,1.0136023447249565,,
2025-04-22,1.0078219166212883,1.011431352978713,1.0116578075682927,1.006797979944333,1.0130116440975576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0074375885071851,1.0112877571573267,1.0137233662455516,1.0075375174053762,1.0121484088769885
2025-04-23,1.0078874386758474,1.0114804391576813,1.0117647004324586,1.0068493565870178,1.0131297468790295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0074762452892219,1.0114525777226084,1.0138444908509174,1.0075952644374273,1.0122578972545104
2025-04-24,1.0079456875293695,1.0115294084647948,1.0118812055476818,1.0068996983045264,1.013247849660501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0076506145659936,1.011534925144622,1.0139741714922366,1.0076540631538369,1.0123935730571798
2025-04-25,1.0080037466472125,,1.0119978264731586,1.0070518323054556,1.01360466809128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0077087770637372,1.011864503414558,1.0143459982595167,1.0078273042499903,1.0125161551472757
2025-04-28,1.0081793786409485,1.011764671508278,1.0123281173167136,1.007102247946191,1.013724444263661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0077474338457741,1.0119469136971988,1.014467019780112,1.0078850512820414,1.0128577763434274
2025-04-29,1.0082380702110556,1.0118137576872464,1.0124252821195685,1.0071525896636997,1.0138442204360418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0078442531255545,1.0120293239798397,1.0145881443854776,1.0079428939217616,1.0129738115772362
